Geneid	Trspfl_RNA_1	control_RPF_1	Trspfl_RPF_2	control_RPF_2	Trspfl_RNA_2	Trspfl_RPF_1	control_RNA_1	control_RNA_2
Gal3st1	36	1	3	0	38	0	11	7
Gpr68	3	0	0	0	3	0	1	1
Golph3l	200	69	91	69	171	70	128	189
Sptan1	1685	1107	1796	808	1591	1472	998	1250
Slx1b	138	15	37	16	138	21	77	71
Sh2d1b2	0	0	0	0	0	0	0	0
Rprd2	229	96	165	110	180	131	157	179
Edem3	895	135	196	132	825	163	598	760
Kir3dl1	0	0	0	0	0	0	0	0
Pcsk1n	0	0	0	0	0	0	0	0
Gpr162	1	2	0	0	0	0	8	2
Syk	66	28	33	16	88	25	63	58
Frmd4b	472	153	217	266	500	150	660	974
Pomt1	396	173	206	98	355	158	203	206
Mpp4	6	1	1	1	6	0	31	18
Chst10	0	0	0	0	1	0	1	0
Abcc10	136	18	20	9	164	20	80	90
Chd6	269	45	76	36	221	68	170	209
Tyms	118	32	59	31	113	46	54	83
Fam131b	0	0	0	0	1	0	0	0
Gm8267	0	0	0	0	0	0	0	0
Vmn2r56	0	0	0	0	0	0	0	0
Aicda	0	0	1	0	0	0	0	0
Ahrr	3	1	0	2	2	2	3	1
Zbtb17	160	27	34	17	162	20	94	104
Gm21992	3	2	1	1	1	1	1	3
Sergef	55	12	20	9	65	8	35	54
Armc3	0	0	1	0	0	0	0	1
Misp	4	0	1	0	4	1	3	1
Vmn1r254	0	0	0	0	0	0	0	0
Vmn1r244	0	0	0	0	0	0	0	0
Mettl26	4143	939	1380	690	4226	808	2645	3476
Tmem174	0	0	0	0	0	0	0	0
Acbd6	264	103	140	78	234	75	182	247
Ccdc88c	21	2	15	4	24	5	11	17
Nudcd2	578	80	137	52	598	104	298	372
Zmynd19	159	5	11	5	153	8	121	134
Tmprss13	0	0	0	0	0	0	0	0
Odr4	1281	157	377	179	1296	308	516	808
Elovl1	725	485	363	172	781	272	620	447
Nfatc4	8	0	1	0	2	1	3	2
Camta2	263	32	31	18	250	26	167	179
Ephx2	12655	10369	10810	7835	10959	8247	10125	12089
Hdac9	17	3	6	1	14	0	8	12
Styxl1	12	0	2	1	8	0	3	1
Pex5	2257	906	1223	672	2164	804	1662	1724
Cav2	75	28	36	20	108	22	69	56
Coq3	360	100	167	94	408	123	216	241
Chrd	82	3	13	4	92	12	36	63
Sbk3	0	0	0	0	0	0	0	0
H2al1g	0	0	0	0	0	0	0	0
H2al1f	0	0	0	0	0	0	0	0
Dync1i2	1049	450	777	451	1041	606	643	824
Dennd2d	210	18	55	13	220	48	50	104
Sh2d3c	112	32	49	19	120	29	55	83
Gm1673	7	3	1	0	6	0	11	5
Pard6a	48	7	15	7	45	7	36	45
Srgap2	232	70	148	57	224	97	139	133
Nrip1	185	50	94	46	191	64	138	145
Olfr8	0	0	0	0	0	0	0	0
Tes	31	11	15	6	22	5	27	20
Dnph1	75	26	30	21	95	15	47	47
Fbh1	645	102	204	78	650	132	329	369
Rpl15	299	0	0	0	337	0	195	233
Sh3tc1	126	58	64	38	100	46	87	79
Slc7a4	6	6	5	5	13	7	4	8
Ghitm	9497	2479	4665	2071	9047	3825	4461	5762
Atp2b1	473	226	294	197	532	239	369	423
Lrriq1	0	1	0	0	0	0	0	0
Sgtb	40	15	6	8	37	9	58	85
Zfp532	75	1	6	3	71	6	18	28
Tnks2	1158	176	293	170	1018	293	735	974
Mbtps1	935	81	94	61	844	68	682	709
Cyp4f16	50	7	14	6	46	8	18	10
Toporsl	1	0	0	0	0	0	0	0
Prpf38b	555	102	225	129	491	150	363	542
Flrt1	5	6	1	1	13	1	3	6
B4gat1	202	64	78	43	206	33	155	164
Vmn1r57	0	0	0	0	0	0	0	0
Vmn1r61	0	0	0	0	0	0	0	0
Vmn1r60	0	0	0	0	0	0	0	0
Rcor3	126	12	22	14	129	14	69	92
Man2a2	518	59	90	38	511	46	280	285
St6gal1	1217	140	186	113	1200	123	722	892
Fam227a	6	1	0	0	9	1	7	3
Arap2	255	25	43	23	244	36	157	203
Tmem158	9	1	2	1	7	2	6	7
Panx3	0	0	0	0	0	0	0	0
Dcaf8l	0	0	0	0	0	0	0	0
Diaph1	837	368	585	350	786	395	610	709
Pkp1	4	0	2	0	2	1	1	0
Gcsam	4	1	0	0	4	0	4	2
Gfra2	38	17	14	21	25	13	15	33
Crim1	224	92	114	88	201	92	205	222
Pde4b	142	67	115	60	220	51	153	149
4933405L10Rik	0	0	0	0	2	0	0	0
Nxf2	0	0	0	0	1	0	1	0
Fbrsl1	174	21	23	8	186	16	117	156
Zfp967	0	0	0	0	0	0	0	0
Phka2	389	124	260	78	445	196	201	243
Eif2ak4	240	21	48	28	188	51	121	141
Cpq	1678	521	670	363	1666	481	848	1041
Cdadc1	1070	75	161	97	1073	132	675	1010
Axin1	282	72	58	32	253	38	192	215
Arrdc1	40	3	17	1	50	8	15	25
Septin2	1103	448	893	515	1064	731	763	887
Mettl14	128	27	48	35	122	52	70	79
Pcnp	167	13	5	10	161	5	144	188
Kcnc4	1	0	0	0	1	0	0	1
Paip2	1708	136	379	277	1658	336	1021	1384
Trim30a	174	28	72	25	175	35	105	125
Plcb4	59	19	34	11	42	30	19	28
Pak1	42	7	16	6	44	14	20	29
Zfp948	78	5	12	5	60	5	30	85
Kcnj9	0	1	1	0	3	0	0	2
Kcnj8	36	8	8	8	31	6	38	20
Kcnj4	1	0	0	2	0	0	0	0
Kcnj3	0	0	0	0	0	0	0	0
Ppfibp2	879	149	569	137	1093	359	297	356
Uspl1	347	57	56	39	338	37	232	255
Ptpre	24	4	9	4	20	11	20	32
Amer1	69	16	25	14	77	17	50	64
Gm15319	0	0	0	0	0	0	0	0
Nr2f6	1042	55	54	16	1080	31	954	1009
Epor	21	9	8	6	32	2	16	16
Epn2	114	21	35	16	116	19	103	70
Nmur2	0	0	0	0	0	0	0	0
Ehbp1	171	27	92	32	184	54	71	156
Ppp3cc	25	0	8	5	38	3	10	18
Apoe	290048	119537	215198	121368	334806	143030	160208	240240
Arid3a	12	4	8	5	21	4	16	17
Tnfrsf8	0	0	0	0	0	0	0	0
Kif2a	123	24	67	37	98	38	57	83
Tctex1d2	28	6	8	2	31	3	11	14
Gnrhr	0	0	0	0	0	0	0	0
Skint4	0	0	0	0	0	0	0	0
Srsf5	1181	79	100	45	1283	111	634	787
Col6a1	110	73	117	33	114	83	53	60
Sytl3	2	0	0	0	2	0	0	0
Zfr2	8	0	0	0	21	0	0	2
Gm10778	0	0	0	0	1	0	1	1
Ercc6	156	35	67	30	151	54	98	111
Olfr380	0	0	0	0	0	0	0	0
Olfr202	0	0	0	0	0	0	0	0
Olfr1273-ps	0	0	0	0	0	0	0	0
Olfr348	0	0	0	0	0	0	0	0
Eif5	2444	417	937	536	2219	623	1551	2220
Olfr607	0	0	0	0	0	0	0	0
Rin1	1	1	3	0	6	0	3	2
Plekhg4	0	0	0	0	1	0	0	4
Palb2	14	0	2	3	12	4	12	13
Rars2	283	66	107	55	313	99	137	150
Tmcc3	342	24	37	19	278	37	260	279
Ano2	0	0	0	0	1	0	0	1
Dpysl3	36	15	32	14	33	28	23	20
Dlx5	0	0	0	0	0	0	0	0
Dlx3	0	0	0	0	0	0	0	0
Hspa1l	17	0	0	0	7	0	8	11
Eif2ak1	754	122	267	151	719	229	550	652
Mmp28	3	3	2	2	1	1	0	3
Rdh1	14	0	1	0	11	2	10	13
Rab3d	170	12	38	14	154	18	63	97
Tnrc6a	632	46	65	51	611	82	380	549
Cckar	1	0	0	0	0	0	0	0
Capn5	44	7	21	8	38	9	22	15
Mgp	33	16	11	4	30	13	20	16
Ctla4	0	0	0	0	1	0	0	1
Cd14	100	28	48	10	149	24	40	59
Nptn	970	156	245	163	960	204	647	783
Slc25a44	1124	69	129	54	1224	93	904	1082
Slc25a45	394	148	183	70	453	103	230	250
Slc10a1	10560	4207	4964	3135	11172	3480	6296	9793
Lpxn	39	9	14	6	47	16	22	24
Poc1b	66	15	21	13	64	9	56	76
Acd	130	21	30	10	113	19	73	86
Tesc	3	2	1	1	5	1	1	3
Alkbh2	80	12	37	18	103	15	55	77
Dhx32	834	152	250	115	906	154	505	561
Wsb1	365	25	37	21	399	15	254	245
Mtmr14	568	94	139	77	511	89	406	408
Ap5s1	280	47	54	31	271	35	247	282
Glis2	11	0	2	0	10	1	5	9
Cyp4f37	1	0	0	0	1	1	1	1
Tmem9	232	33	78	55	222	69	130	144
Bmp1	1087	340	439	251	1080	256	874	1103
Nsmce4a	842	159	331	163	872	185	471	613
Satb1	8	2	4	0	9	1	10	6
Dbn1	13	2	14	4	24	4	16	17
Psma2	828	344	438	251	815	337	402	596
Syt14	0	0	0	0	1	0	1	0
Btbd35f28	0	0	0	0	0	0	0	1
Thbs1	58	27	60	9	63	31	16	23
Olfr281	0	0	0	0	0	0	0	0
Olfr960	0	0	0	0	0	0	0	0
Olfr728	0	0	0	0	0	0	0	0
Vmn1r195	0	0	0	0	0	0	0	0
Vmn1r81	0	0	0	0	0	0	0	0
Vmn1r225	0	0	0	0	0	0	0	0
Vmn1r228	0	0	0	0	0	0	0	0
Vmn1r16	0	0	0	0	0	0	0	0
Vmn1r6	0	0	0	0	0	0	0	0
Amy2a3	0	0	0	0	0	0	0	0
Cd79a	2	1	3	0	2	0	3	1
Vmn1r51	0	0	0	0	1	0	4	3
Utrn	687	218	364	190	675	341	484	562
Usp24	1582	467	766	459	1351	597	1109	1327
Cphx3	0	0	0	0	0	0	0	0
Foxred2	3	3	0	1	2	0	0	1
Homez	87	16	35	14	100	16	71	60
Hdac7	70	15	19	9	55	8	44	57
Xylb	2081	697	1000	495	1849	659	1286	1564
Klra4	0	0	0	0	0	0	0	0
Pmm1	90	14	28	11	80	10	49	63
Sh3glb1	894	290	382	248	696	355	441	648
B230311B06Rik	0	0	0	0	0	0	0	0
Ssxb9	0	0	0	0	0	0	0	0
Foxp1	248	48	67	45	176	48	202	296
Eps8	35	17	25	18	38	17	24	36
Cast	635	197	410	253	717	360	514	608
Kcnq2	0	0	1	0	0	0	0	0
Ccl20	0	0	0	0	0	0	0	0
Ube2h	429	10	20	30	237	39	279	419
Spx	4	0	0	0	4	0	1	5
Stk40	540	52	62	31	435	50	383	475
Ppp1r36	1	0	0	0	1	1	0	1
R3hdm2	600	43	79	41	511	75	322	469
Trim43c	2	0	0	0	1	0	0	0
Tro	7	2	1	0	8	1	4	7
Pola2	149	36	64	43	157	36	103	109
Prl8a6	0	0	0	0	0	0	0	0
LOC102638913	0	0	0	0	0	0	0	0
4930432K21Rik	1	0	0	0	2	0	2	1
Mmp19	2119	566	1664	372	2140	1093	669	679
Grwd1	116	71	107	29	119	58	83	113
Igf2bp2	20	11	9	7	15	4	10	10
Gm18905	0	0	0	0	0	0	0	0
Smtn	85	28	66	27	85	33	51	55
Mapkap1	783	77	151	99	774	86	462	568
Rce1	136	40	31	21	128	16	96	101
Zfp831	3	0	0	0	2	0	0	0
Gm14305	4	0	0	1	2	0	2	0
Gm15023	0	0	0	0	0	0	0	0
Large2	4	0	1	0	2	0	0	2
Plekha7	151	32	39	20	156	30	63	70
Elf2	384	67	127	73	408	95	256	379
Coasy	2576	733	1123	579	2799	687	1567	2019
Csrp1	176	52	75	38	148	45	117	110
Pcx	8704	3804	7822	2434	7562	5005	4070	4261
Rfx8	0	0	0	0	1	0	0	0
Lrrc57	226	45	87	51	225	55	146	175
Ctla2a	91	10	29	13	76	24	23	48
Mindy3	622	163	193	124	555	143	388	524
Tcea2	14	0	2	0	13	2	7	8
Klrh1	0	0	0	0	0	0	0	0
Stam	336	125	184	135	308	186	218	297
Fgf13	0	0	0	0	1	0	0	0
Pde1c	1	0	1	1	8	0	2	1
Eda2r	2	1	1	2	1	1	7	8
Nxt2	685	151	162	135	591	121	439	636
Klf14	0	2	0	6	0	6	0	0
Dmrtc1c1	0	0	0	0	0	0	0	0
Phyhipl	0	0	0	0	0	0	0	0
Rab26	2	0	0	0	0	0	0	0
Tmeff1	2	1	0	0	3	0	2	4
Dmrtc1c2	0	0	0	0	0	0	0	0
Olfr71	0	0	0	0	0	0	0	0
Olfr70	0	0	0	0	0	0	0	0
Arntl2	5	1	2	1	12	0	3	3
P2ry14	13	2	6	3	13	5	8	11
Erg	65	19	23	13	49	19	27	43
Adra1b	968	81	61	47	987	49	761	836
Chfr	308	41	42	22	299	33	205	210
Mlst8	209	32	58	18	218	53	104	123
Psma4	1677	288	677	424	1786	596	700	1362
Dnajc14	583	22	41	10	650	35	361	393
Becn1	1031	186	160	106	1056	132	627	804
Gprin1	0	0	0	1	0	0	0	0
Mier2	207	24	69	21	160	44	96	118
Zfp653	59	2	5	4	51	4	31	39
Gm6557	0	0	0	0	0	0	0	0
Itgav	398	312	390	273	364	258	373	395
Sec23b	1051	580	830	368	981	555	739	713
Cd180	29	16	19	12	35	10	21	19
Gna13	514	35	90	55	444	68	316	360
Actr6	286	67	115	41	235	83	120	184
Rnf146	296	46	71	55	260	63	196	276
Cdc42ep3	30	3	9	5	22	6	19	29
Sox13	75	13	29	10	90	14	39	40
Stpg1	0	0	0	0	1	0	0	0
Ttc30a1	28	4	14	5	25	6	14	14
Ttll2	0	0	0	0	2	0	1	0
Slc35a1	383	88	111	78	396	97	306	347
Lpin2	4083	1263	735	1317	2212	953	3634	6029
Cdc40	504	178	275	155	467	212	349	422
Lrmda	22	4	11	1	10	6	7	5
Nt5c1b	0	0	0	1	0	0	0	0
Aldh1b1	2143	429	1556	325	2573	833	642	696
Shisa5	468	28	64	29	429	36	207	285
Slc22a22	1	0	0	0	1	0	1	2
Gria2	0	0	0	0	1	0	0	0
Mtdh	909	340	556	324	672	447	668	957
Tfap2b	0	0	0	0	0	0	0	0
Olfr1413	0	0	0	0	0	0	0	0
Olfr658	0	0	0	0	0	0	0	0
Olfr652	0	0	0	0	0	0	0	0
Olfr618	0	0	0	0	0	0	0	0
Usp15	1486	337	729	362	1353	534	767	1102
Itga7	134	27	48	30	137	26	43	60
Plekha1	275	26	56	28	258	37	164	213
Lag3	6	3	5	4	13	0	7	10
L1cam	0	0	2	1	1	2	2	0
Serpinb2	3	0	1	0	3	0	0	0
Plek2	12	3	13	0	12	4	4	4
Abl2	204	17	14	5	139	16	119	147
Clmn	1706	186	441	222	1498	362	909	1173
Hemgn	0	0	0	0	0	0	0	0
Pcdhb22	4	1	2	2	1	2	4	2
Pcdhb21	1	1	2	1	0	0	1	1
Pcdhb20	5	0	1	1	0	1	1	2
Pcdhb19	0	0	4	0	4	0	1	1
Pcdhb18	4	2	1	1	4	1	1	0
Slc37a3	436	51	57	48	387	42	309	341
Rasl10a	4	0	0	0	1	0	1	1
Klc1	248	49	69	39	263	46	137	173
Higd1a	339	43	32	28	344	29	235	269
Ythdc1	344	62	98	75	351	93	283	368
Adck1	330	99	147	60	372	83	207	238
Gm13285	0	0	0	0	0	0	0	0
Cbr2	1	0	1	1	1	0	0	0
Slc4a2	555	141	197	70	490	132	269	324
Slc10a7	121	12	17	13	133	13	96	95
Cyb5r2	4	1	0	0	2	0	2	3
Ypel5	1283	146	282	183	1083	235	590	851
Zfp574	122	46	48	36	122	34	92	122
Shoc2	534	112	187	132	511	150	328	501
Clip3	11	4	6	0	5	0	5	7
Cdh1	538	662	682	383	508	556	415	350
Gm12886	0	0	0	0	0	0	0	0
Igf2	4	0	0	1	0	1	3	0
Islr2	2	0	0	0	0	0	0	0
Slc24a2	0	0	0	0	0	0	0	0
Aqp8	4434	708	1026	649	3586	994	1737	2360
Kif21a	1308	440	632	375	1232	481	839	1130
Abhd14a	103	20	10	10	94	11	74	72
Zfp78	36	2	10	5	29	5	12	17
Ipo7	2661	574	1627	670	2314	1014	1772	2208
Wdr70	95	19	44	33	99	36	86	98
Cacna1d	71	2	3	2	50	7	30	41
Cyp26c1	1	1	1	0	0	0	0	2
Pls3	3048	1198	1989	892	2882	1492	1594	1807
Ddah2	42	14	19	5	64	9	25	45
Men1	353	78	128	70	431	73	252	280
Taf1a	104	20	38	28	131	30	66	94
Tk1	225	20	61	31	249	33	108	122
Trim2	367	74	131	68	352	105	322	319
Ank1	4	0	0	0	1	0	0	1
Spag11b	0	0	0	0	0	0	0	0
Ildr1	2	0	0	0	1	0	3	1
Pars2	51	18	25	2	58	21	40	31
Mc2r	0	0	0	0	0	0	0	0
Clip1	789	204	445	236	749	428	413	549
Arhgdib	172	47	117	41	158	63	89	118
Bub3	755	291	288	207	704	260	417	486
Mtch2	2704	854	916	566	2565	762	1785	2160
Atf3	35	1	18	1	37	2	4	16
Mns1	5	1	3	1	3	1	3	4
Casp4	47	4	15	4	31	10	9	27
Cdx4	0	0	4	2	0	0	0	0
Cdr2	23	1	4	2	19	3	10	12
Lmna	490	311	384	160	536	226	327	292
Cyp2d34	30	1	2	5	25	1	12	15
Ap2b1	713	404	875	361	555	628	352	494
Blzf1	230	49	129	77	263	107	133	171
Cldnd2	1	0	0	0	0	0	0	0
Stoml2	994	198	261	136	1050	195	550	741
Cic	281	72	63	43	263	62	185	191
Aven	126	54	100	60	152	89	107	197
Iqcf1	0	0	0	0	0	0	0	0
Tspan17	45	1	2	1	46	1	25	35
Lrrc2	0	0	0	0	1	0	0	1
Ctbs	176	66	101	57	202	100	98	126
Zbtb14	71	8	24	12	81	19	56	50
Lrrc19	6	1	0	1	1	0	0	1
Rsrc1	344	40	65	54	342	63	225	257
Hs3st6	13	4	0	1	16	0	20	19
Zfp638	811	265	430	232	746	358	509	608
Il21r	8	0	1	0	7	0	5	1
Psg21	0	0	0	0	0	0	0	0
Glp1r	0	0	1	0	0	0	0	0
Yeats4	443	47	71	38	431	63	230	367
Slc25a39	5519	622	860	438	5031	596	3332	4071
Oas1e	1	0	0	0	0	0	0	0
Tcirg1	749	245	340	139	755	228	285	401
Slc7a10	0	0	0	0	0	0	1	1
Crb2	1	0	0	0	1	0	0	2
Tnnt3	6	1	0	0	0	3	0	0
Dmkn	1	0	0	1	1	1	0	1
Vmn1r170	0	0	0	0	0	0	0	0
Mgat1	903	252	222	167	833	152	806	736
Ubr5	1828	539	836	436	1658	682	1220	1445
Gm20809	0	0	0	0	0	0	0	0
Vmn1r258	0	0	0	0	0	0	0	0
Vmn1r246	0	0	0	0	0	0	0	0
Tax1bp1	3447	1053	2350	1159	3026	2021	1686	2500
Cbln1	0	0	0	0	0	0	0	0
Tspan6	5	4	5	4	10	5	8	9
Adar	331	89	141	56	330	96	184	188
Trpv4	6	1	6	2	4	7	6	12
Rsrc2	562	50	200	112	489	173	216	438
Il12rb2	33	0	0	0	25	1	23	25
Cfd	241	8	92	12	201	95	16	30
Pdcd6ip	2039	951	1501	782	1907	1039	1597	1660
Ifnl3	0	0	0	0	0	0	0	0
Endov	112	12	36	10	133	25	49	75
Ppp1r8	220	41	61	30	277	50	144	190
Rbm20	65	6	10	3	60	6	41	58
Dcaf12l1	66	24	62	14	54	28	26	45
Hdac5	404	72	74	46	394	37	318	338
S100a9	30	2	20	11	33	13	11	15
Btf3l4	75	0	1	0	82	0	51	59
Plec	975	187	341	111	897	305	454	502
Cbln2	8	0	0	0	15	0	0	0
Ctf1	43	2	9	7	35	11	21	30
Rprd1b	359	118	198	115	329	147	304	313
Srpr	1928	325	531	209	1786	317	1289	1571
Vmn1r29	0	0	0	0	0	0	0	0
Vmn1r10	0	0	0	0	0	0	0	0
Lce1k	0	0	0	0	0	0	0	1
Fbln5	74	67	58	36	42	55	34	50
Slc22a27	4	0	1	1	2	2	3	3
Thra	129	17	18	8	124	9	85	130
Tpsg1	0	0	0	0	0	0	0	1
Cux2	3	0	15	1	66	0	7	4
Gm3317	0	0	0	0	0	0	0	0
Grin1os	1	0	0	0	0	0	0	0
Mx1	18	0	4	0	30	1	5	20
Aamp	3134	1447	1157	760	3191	940	2175	2385
Mroh1	499	172	256	95	527	150	313	292
Triobp	182	54	92	39	174	81	106	140
Nod2	4	1	2	2	6	3	2	2
Tmem255a	1	0	0	0	4	0	1	4
Col6a6	23	5	8	3	15	6	10	19
Cep55	13	4	3	0	6	2	1	3
Zfp119a	35	7	6	6	30	2	36	37
Sh3d21	17	2	7	3	22	6	6	7
Fam174b	57	4	11	4	57	2	35	61
Olfr819	0	0	0	0	0	0	0	0
Rangap1	1146	521	723	349	1080	530	750	926
Brinp3	0	0	0	0	0	0	0	0
Syvn1	1591	1153	495	464	1363	357	2143	1935
Aurkaip1	1865	295	629	270	1828	348	951	1382
Ndfip1	3475	1204	2092	1086	2861	1420	2306	2984
Grk6	213	29	30	21	231	18	182	176
Cenpa	74	2	6	3	70	5	51	50
Rassf5	199	30	50	29	170	39	137	146
Ppp1r14a	28	28	45	14	46	14	19	16
Gm21083	0	0	0	0	0	0	0	0
Fpr-rs3	0	0	0	0	0	0	0	0
Fpr2	18	3	3	4	17	4	4	21
Klrg1	0	0	1	0	1	0	1	0
Myadm	236	106	113	69	220	122	191	221
Olig1	93	25	14	8	62	10	94	80
Olig2	0	0	0	0	0	0	0	0
Phgdh	4	0	0	0	1	0	1	0
Nckap1	1906	552	1020	548	1480	775	1205	1568
Zfp518a	245	36	92	49	207	61	154	186
Utp3	670	299	381	259	713	289	445	595
Katnal2	3	0	0	0	2	0	0	0
Rfx4	24	27	8	17	15	9	66	53
2810006K23Rik	78	23	44	21	84	29	42	40
Pde6h	0	0	0	0	0	0	0	0
Hspa12b	29	8	21	8	22	7	16	10
Ankle2	539	281	395	238	514	309	426	417
Dgke	57	5	9	3	37	5	20	22
Fis1	1392	160	310	161	1592	275	726	1035
4930524B15Rik	0	0	1	0	0	0	0	0
Ubl4b	0	0	0	0	0	0	0	0
Nkain1	8	0	0	0	2	0	1	5
Slc12a5	23	6	5	7	17	5	18	20
Sfswap	185	15	46	19	172	27	118	123
AW551984	0	1	1	1	1	0	0	1
Pheta1	227	13	19	3	207	4	92	82
Dpy19l1	811	199	223	187	754	160	839	921
Vmn1r183	0	0	0	0	0	0	0	0
Cyp4a31	66	48	28	31	38	21	50	35
Ctps	161	24	51	17	139	53	69	56
Maco1	544	151	238	172	356	198	336	467
Exosc10	465	171	318	137	442	238	282	344
Zfp637	105	40	37	14	107	24	68	74
Syt11	58	6	14	3	64	7	41	31
Gsn	427	218	254	126	354	271	271	282
Gm5134	0	0	0	0	0	0	1	0
1810024B03Rik	3	0	0	0	6	0	0	3
Rere	375	61	172	80	374	101	183	227
Selplg	46	10	15	6	61	9	27	22
Selenbp1	2592	306	965	333	2783	606	1211	1505
Apob	80162	85864	100075	70430	64384	81869	58248	73659
Ankzf1	263	73	96	49	258	72	147	175
Slc47a1	1498	220	390	178	1475	291	834	1040
Wdr77	328	0	5	2	290	1	226	305
Galnt13	0	0	0	0	0	0	0	0
Tut4	290	47	150	43	216	123	113	126
Lurap1	2	1	1	0	2	1	2	0
Psmd8	1913	751	1050	576	2118	734	1411	1743
Scamp1	695	347	355	259	732	287	669	831
Efcab10	0	0	0	0	0	0	0	0
Ankrd7	0	0	0	0	0	0	0	0
Uhrf1bp1l	693	125	203	79	625	139	435	540
Fam161b	15	0	1	1	15	3	5	6
Gask1b	11	0	0	1	11	1	5	6
Tmem100	7	0	1	0	1	0	5	4
Ifi27	970	509	568	425	859	445	702	967
Cars	485	313	366	249	487	218	475	504
Nelfcd	451	163	206	139	438	161	297	349
Rmnd5a	1986	277	363	197	1766	287	1406	1735
Vmn1r25	0	0	0	0	0	0	0	0
Pcsk7	518	42	62	38	483	35	348	391
Tgfb2	9	5	7	1	8	3	6	4
Tsc22d1	959	274	166	138	787	115	1403	1085
H2ac6	0	13	8	13	0	12	0	1
H2ac7	0	1	0	1	0	3	0	0
H2ac8	1	5	6	0	1	4	2	1
Zfp286	1	1	0	0	2	0	0	1
Eci2	4412	1219	1005	827	3430	893	2794	3970
Uqcc2	390	55	162	76	463	107	226	371
3110009E18Rik	26	8	6	11	7	8	9	9
Fn1	13093	15760	13554	11874	13529	9898	13512	15488
Kctd17	33	6	12	8	23	15	24	21
Whrn	5	1	0	0	1	0	5	11
Hrh1	1	0	0	0	3	1	0	3
Fgg	62373	34167	38938	35663	62505	29174	56541	70196
Igsf9b	2	0	0	0	1	0	0	1
Uty	316	89	172	63	278	109	175	212
Reg3d	4	0	0	0	0	7	0	0
Marchf2	1343	20	21	16	1369	19	831	906
Lmf1	778	503	424	246	711	332	554	519
Lce1f	0	0	0	0	0	0	0	0
Gh	1	0	1	0	1	0	0	0
Emp3	30	27	16	9	35	10	16	29
Emp1	29	5	12	8	30	12	16	17
Eif4ebp2	984	164	285	199	944	254	797	906
Eif3a	3315	883	2318	1098	3188	1765	2174	2814
Rfxank	191	36	57	24	201	40	137	109
Capn3	22	17	7	5	20	7	31	18
Efna4	0	1	0	0	2	0	0	0
Zp1	0	0	0	0	0	0	0	0
Ikzf1	24	3	17	4	35	13	21	26
Hira	183	23	37	26	172	21	109	125
Uhmk1	1096	52	74	43	940	49	751	823
Chrne	5	0	1	1	1	0	1	5
Ccl1	0	0	0	0	0	0	0	0
Bcl2a1c	0	0	0	0	0	0	0	0
Nr1h4	2314	738	1089	599	2391	773	1407	2314
Gpn2	216	55	61	30	150	32	121	144
B4galt7	97	20	17	12	97	10	68	82
Spin1	393	90	94	100	321	94	444	474
Rnf144b	983	227	147	134	706	125	835	908
Bag6	991	618	788	391	959	508	704	874
Cdca7l	8	1	4	2	9	7	3	3
Pyy	0	0	0	0	0	0	0	0
Lsm2	170	99	79	80	133	66	109	139
Dhrs7b	806	143	256	135	737	160	325	542
Ankmy2	151	57	157	43	147	96	95	119
Plekhh3	220	34	43	29	232	43	110	162
Ambp	32409	12006	18792	13942	34322	13706	21396	31597
Fdft1	859	636	545	583	1090	375	869	1317
Cldn3	944	295	359	189	970	242	834	956
Stk32a	0	0	0	0	0	0	0	0
H4c8	10	356	537	328	10	360	5	9
Rgs13	0	0	0	0	0	0	0	0
Cdnf	12	3	1	0	9	1	2	5
Dgkd	478	23	105	40	446	76	263	263
Tfap2a	2	0	1	0	0	1	0	0
Zkscan17	176	14	55	19	167	31	109	126
Ccdc85a	1	0	0	0	0	0	0	0
Slc28a2	4	3	5	4	5	1	4	9
Fyb	166	39	81	42	138	56	68	96
Klk7	0	0	0	0	0	0	0	0
Cib1	748	427	500	279	859	286	660	629
Med24	297	109	135	66	288	90	218	222
Mthfsl	66	13	22	13	74	10	33	59
Gm10096	0	0	0	0	0	0	0	0
Uhrf1	14	2	10	3	17	12	4	2
Tmem254c	0	0	0	0	0	0	0	0
H1f8	7	0	0	0	5	0	4	2
Nat8f6	0	0	0	2	1	0	0	2
Ifi207	57	16	32	26	72	41	38	58
Scgb1b15	0	0	0	0	0	0	0	0
Scgb1b17	0	0	0	0	0	0	0	0
Klrb1f	4	0	0	0	2	1	1	2
Igf1	4649	1571	1915	1438	4636	1293	4642	6417
Pwwp2a	82	9	12	5	85	9	48	76
Nrf1	127	61	42	31	129	29	109	117
Etl4	151	27	92	28	159	85	46	69
Klf10	256	81	68	109	155	69	225	510
Gmeb1	76	16	20	8	76	11	59	56
Atp13a2	287	30	28	18	300	31	205	204
Magix	230	106	95	55	253	50	173	169
Alkbh7	136	116	125	56	153	43	129	108
Rbm4b	147	30	35	17	138	27	95	108
Mpp2	4	0	2	0	3	1	3	0
Pex7	1997	433	578	351	2009	434	1316	1505
Slc66a2	1754	190	218	178	1808	126	1328	1914
Ano7	0	0	1	0	0	0	0	0
Vmn2r47	0	0	0	0	0	0	0	0
Ank	364	95	105	64	388	58	326	346
Lrrc18	1	1	1	0	1	0	2	2
Meaf6	138	21	54	22	150	33	116	151
Golm1	80	9	18	8	88	17	44	48
Gm13286	0	0	0	0	0	0	0	0
Zfp933	84	4	9	11	61	6	32	58
Tspyl3	6	1	2	0	0	2	2	2
Lad1	283	50	89	21	252	82	135	100
