geneid	control_RPF_2	control_RNA_2
dco	292	19653
Sox100B	0	0
CG11317	0	0
CG15553	0	1
CG11318	0	0
Prosalpha3T	0	0
CG15554	0	0
CG15556	0	0
Gycbeta100B	2	0
stops	0	42
mesh	1	2
bnk	0	0
CG1544	5	12
chp	0	11
Zwilch	118	3778
CG1542	529	3841
CG15561	102	750
ATPsynC	2836	69330
CG12054	28	9985
CG15563	0	1
CG15564	2	0
qless	7	1211
mRpL32	364	1140
CG1750	20	90
spn-F	191	3076
CAH6	0	2
CAH16	0	0
CAH5	1	9
ppk24	0	0
pHCl-2	0	0
CG34347	44	545
gskt	0	1
CG1607	13	11
CG31204	0	0
Ugt35D1	0	0
Gcn2	134	4800
PNPase	116	2381
Gprk2	49	5985
Loxl1	0	8
CG11334	102	4437
CG11333	0	0
mey	0	7
nyo	0	0
gammaCOP	824	5061
pygo	275	10552
rod	435	5669
CG1635	115	50
CG1638	1	30
CG1774	20	1544
RpL6	3551	55435
CycG	250	30931
Med	234	3241
Mnat9	27	214
CG1792	37	1482
pasha	155	3264
kek6	0	160
CG1815	84	3419
CG11550	0	0
CG42693	0	0
ttk	193	6737
CstF50	164	1340
CG11563	236	2284
eEF1alpha2	9	59
CG1890	94	5461
CG1896	96	2157
awd	2299	43222
nero	186	3938
CG1910	399	5673
salt	0	1
CG2187	37	3277
Smvt	0	2
CG2150	1	0
betaGlu	174	733
sip3	216	3186
CG2126	68	1471
faf	1072	25384
Mccc1	344	4737
Acf	397	12817
CG42233	45	974
Ir100a	0	6
CG1971	17	413
Rift	40	2072
FeCH	315	2584
RhoGAP100F	1	264
heph	283	13483
CG2003	86	585
CG2053	0	1
krz	228	7019
mod	2184	36886
Map205	1271	18807
mthl8	0	0
CG43149	0	1
Lsp1gamma	1	2
CG13405	0	5
CG12483	1	0
Pdk1	203	9534
CG6845	11	271
Dic61B	1	12
p130CAS	28	248
CG7049	69	3
Vdup1	0	4
CG13875	0	18
CG34140	34	0
Mkp	2	2
Mtch	136	5348
rno	71	6509
mri	153	3602
Gk1	109	1627
NitFhit	113	2023
CG13876	22	767
Prp4k	222	5386
thoc7	116	2543
Dis3l2	130	4641
Kaz1-ORFB	5	29
pyx	3	168
CG13877	2	0
CG33229	83	4461
CG42846	0	3
CG34454	0	1
CG34453	0	3
E(bx)	451	34551
mthl14	24	71
DIP2	158	8079
wac	122	1482
Tudor-SN	2654	35746
mRpL17	202	1960
CG34263	0	0
miple1	0	4
miple2	136	614
CG32845	0	27
ttm2	0	0
RhoGEF3	13	4014
fwd	226	12399
ddbt	0	3
CG32344	413	4408
Atac3	62	1902
Ptpmeg	65	5590
mthl9	3	10
mthl10	63	657
mth	65	1816
CG1231	0	2
Cdc5	416	3218
Roc1b	5	0
CG1233	19	2187
CG13884	0	5
trh	3	49
CG13891	0	2
klar	341	19442
CG34267	0	0
CG34268	0	0
CG34269	0	4
BORCS6	13	322
Cypl	95	1015
Hipk	157	4806
Ppm1	0	0
Kah	0	2
MED14	279	8022
CG13893	41	44
Reg-2	11	29
CG43337	0	4
Gale	139	1876
CG3402	51	2911
MED30	136	849
Rev1	173	3007
CG17129	7	1450
CG3386	32	523
ebd1	39	3270
hiro	0	10
CG32483	1	2
RabX6	38	438
Vti1a	22	1530
CG13894	0	4
CG13895	9	255
CkIIalpha-i3	68	990
CG13896	21	359
hng3	15	1508
emc	186	2758
CG13898	0	0
Sf3b3	941	4253
CG42553	70	965
CG42554	79	856
CG13901	52	1102
CG13887	590	6408
JMJD5	14	1204
Gr61a	0	40
Cep290	2	20
Dci	68	3317
dpr20	0	1
CG12502	0	0
Usp10	491	18804
CG13907	540	9575
CG34056	2	9
CG34057	0	8
mat	0	0
nerfin-1	0	0
Glut1	53	2404
CG12038	0	19
trio	73	2692
CG9205	100	2251
bab1	2	88
bab2	16	25
CG13912	4	32
Trh	0	5
LysX	0	2
Aplip1	0	2
mwh	2	17
meep	0	0
CG9119	13	240
LysB	0	0
LysD	0	0
LysE	0	0
LysP	0	1
LysS	0	0
CG33965	0	0
CG33966	0	0
galene	3	8
CG9192	1	0
Klp61F	315	6333
CG32318	0	0
Psf1	43	563
Sac1	88	6536
CG9129	0	2
CG9133	0	0
CG9130	0	0
tfc	0	0
CG32333	0	6
Rabex-5	97	2269
scf	219	1403
Rac1	172	7046
Acat2	130	2866
Nt5a	29	1868
Ctr9	305	8041
sturkopf	68	2610
Herc4	265	5192
Myo61F	226	944
CG9184	0	2
ND-ACP	476	7044
msd1	92	1752
msd5	155	1030
CG2211	71	1691
l(3)02640	102	7061
CG2199	228	2748
Ptp61F	430	12966
CG9166	70	1242
ru	0	6
CG32320	0	0
CG9168	0	0
FucTD	0	0
CG9173	0	0
SA-2	0	0
rho	2	21
Naa30B	0	0
stet	37	3516
robl62A	0	11
CG12084	83	2997
hfp	402	6039
Psa	586	6586
cue	519	11242
Iml1	204	1677
Ir62a	0	101
CG12091	108	6041
pns	57	5956
CG32313	0	12
Pcyt1	172	3093
Pcyt2	0	30
CG12099	140	3915
Pex10	14	1085
CG7879	46	660
CG12003	0	21
CG12004	121	5996
CG13917	186	13286
CG12104	44	2304
CG33791	1	0
CG18170	2	0
CG12105	2	8
CG13926	42	19
CG33230	7	1105
ABCB7	66	1398
GC	0	2
CG13928	0	2
nSyb	0	0
Mettl2	69	1306
Bgb	65	1730
alphaCOP	877	4064
CG13919	7	106
CG17249	137	621
Bro	0	2
CG13920	0	44
Vta1	168	2400
CG7970	155	3906
Srrm234	349	9069
CG7974	45	941
RpL23A	3612	44663
RabX5	0	1
CG13930	0	0
CG7991	1	3
CG12011	0	0
CG13931	0	0
drpr	524	4171
CG18171	0	82
CG12035	0	1
Oseg4	11	214
PIG-Wb	0	0
Gk2	35	3434
CG13921	46	2894
Cht2	131	2491
CG8001	94	3924
Dhc62B	1	12
CG13933	12	1814
PolD2	277	3085
CG2021	54	1330
mRpL46	96	1729
alpha-Spec	1778	5116
dlt	183	2398
Cdc37	946	2306
CG12020	1	0
Patj	193	3114
JTBR	23	943
CG42676	39	1304
GV1	5	4
Cpr62Ba	0	0
Cpr62Bb	1	0
Cpr62Bc	0	0
CNMa	4	7
CG12024	23	2942
Rap1	191	11247
HBS1	222	1988
CG12025	14	4005
CG13924	0	12
dre4	1238	18963
CG13937	1	29
Aprt	56	921
Tmhs	229	539
dsb	1	29
Dbx	2	0
CG5687	1	1
Mfap1	91	1403
mu2	168	10969
Cnb	25	1255
0	195	4662
SCOT	63	1733
CG1927	62	4823
CG11815	0	0
CG1139	0	0
CG42841	0	0
CG42357	0	0
CG42356	1	0
CG34259	0	0
CG42355	0	0
sls	98	570
zormin	26	285
CG15822	13	333
CG15879	7	72
CG5704	38	1648
CG15820	44	907
CG13810	0	1
CG5707	43	731
CG8960	0	0
CG15878	0	0
Oseg2	2	13
CG9018	120	1621
ACXD	0	48
CG32301	0	8
CG32305	0	2
CG1275	123	2432
CG2034	206	3673
oxt	32	6121
CG13807	148	589
ecd	316	2481
CG13806	0	2
obst-I	0	0
CG32302	10	4
yellow-g	218	1356
yellow-g2	389	1344
MsR2	2	0
MsR1	0	3
CG13801	0	0
CG1317	429	2488
CG8993	174	1108
mRpL23	132	1156
CG9004	168	1676
CG15877	112	1362
Svil	797	19230
Mzt1	0	0
CG32298	0	0
CG32299	0	0
CG16762	2	0
Cyp4d20	0	0
CG1146	46	2096
CG16758	5	30
Spn	216	11205
CG32295	0	0
msn	464	10124
RpL8	3006	48956
dos	187	8465
CG16984	0	5
CG12182	25	569
CG16985	23	344
CG16986	11	457
Pxn	48	108
CG42245	62	0
MEP-1	488	268
CG14949	0	5
CG1143	0	1
CG1246	0	3
ProRS-m	57	674
Snup	20	0
CG42304	1	0
Fife	0	1
CG33233	0	0
CG33234	0	0
Mrtf	348	4457
Acp62F	0	0
Non2	307	10385
AhcyL1	155	3980
CG12093	250	1847
Atg2	212	4598
mRpS35	170	2076
Pgant6	122	3304
Tet	12	56
spz5	1	6
Shab	0	27
CG9970	2	0
CG32846	0	0
CG34025	0	0
Or63a	1	0
CPT2	190	2037
CG2113	0	0
FMRFaR	0	1
CG32488	0	0
CG32487	0	0
aly	0	1
CG2162	92	3832
Jafrac2	160	1538
scramb2	175	3980
Sk2	117	3733
CG32485	22	833
CG1271	6	271
CG16753	115	1429
CG32486	84	1643
PAN3	582	17303
Cht7	3	4
CG45066	0	0
CG45067	0	2
promL	123	5455
CG11537	84	4791
Alg2	106	1220
Usp5	936	7714
BtbVII	167	11422
ND-30	315	2950
CG15812	100	2694
rasp	49	2041
Asciz	24	945
CG32280	22	47
CG32278	77	1138
CG32281	32	400
CG14963	1	17
MnM	4	68
Girdin	45	7361
CG42494	0	5
CG32284	0	0
CG14957	0	0
CG42525	0	0
CG14958	0	0
CG14965	38	1550
Hsp83	16535	126083
CG14966	50	437
CG32276	279	6009
gry	84	5218
CG32271	0	3
CG33159	0	3
CG32277	0	4
CG33160	0	2
CG32270	0	0
CG32269	0	0
hob	202	5422
nSMase	38	4151
RpL28	925	21271
eIF1	1252	10641
Larp4B	241	11762
CG17746	331	7202
CG12078	0	0
CG43389	0	1
ckd	0	22
CG34265	0	0
CG14960	0	0
CG12017	0	0
CG12009	0	0
CG14968	3	15
ZnT63C	97	2897
Drsl2	0	2
Drsl3	0	0
Drsl4	0	0
Drsl5	0	0
PIG-C	27	857
Dpm2	13	0
CG12016	35	2
Strip	116	5055
PHGPx	435	6516
CG14961	0	23
CG14969	68	2400
Drsl1	0	0
Drsl6	0	0
kst	547	5650
Drs	87	0
Ythdc1	148	4283
CG12010	47	926
CG12012	79	1075
Ids	1	12
sty	12	331
eIF5B	525	12027
CG46463	68	0
armi	501	0
CycJ	104	1823
CG14971	16	1376
CG32267	58	2832
CG42324	3	166
CG43074	0	7
ImpE2	0	0
Eip63E	73	5063
CG10359	5	3
CG10357	0	0
CG14974	0	0
dar1	2	3
CG10862	0	0
CG43098	0	0
CG43089	0	0
CG32264	171	5112
ppk27	0	0
CG32266	0	2
ntc	42	895
IntS10	91	1451
CG32262	4	550
CG32263	0	0
PIG-B	68	4288
Scsalpha1	627	9211
Acp63F	0	2
enc	373	15491
Rdh	0	3
Awh	0	0
Fie	6	39
Gr63a	0	0
Lamtor4	93	969
Ccz1	66	521
Ubi-p63E	362	10745
Sc2	547	4069
ida	119	865
mge	202	6193
Eip63F-1	11	50
CG10866	15	1614
CG12766	4	22
CG10863	333	2868
CG14982	0	0
CG10853	0	0
CG14983	0	0
CG14984	0	1
CG12605	0	3
CG43915	0	0
scrt	0	1
CG14985	34	668
FoxL1	0	29
Mul1	52	643
CG11594	5	38
Gr64a	0	1
Gr64c	1	0
Gr64b	0	0
Gr64d	0	0
Gr64e	0	0
Gr64f	0	3
CG11593	71	6449
Rcd5	137	4535
CG1136	31	78
Dpy-30L2	0	0
Ugt305A1	1	7
dib	36	47
wit	24	206
CG32259	0	5
Faa	2	9
Gad1	0	0
CG14989	0	0
CG14990	3	4
CG14995	5	1547
Fit1	153	5965
Ack	70	4060
Chd64	708	5004
ens	644	13980
RfC4	634	5088
Rop	329	2665
Ras64B	45	2166
Akh	0	0
CG32260	0	0
CG1299	1	1
nab	0	0
mas	0	1
Ero1L	45	4222
CG18675	0	0
Teh4	0	2
Teh2	2	4
Teh3	0	1
VhaM9.7-c	29	2336
tipE	0	14
CG43367	59	4262
CG15005	0	0
Cpr64Aa	0	2
Cpr64Ab	1	2
Cpr64Ac	0	1
Cpr64Ad	0	2
ImpL2	153	505
CG46460	68	0
CG14997	38	881
pav	321	6953
ago	748	22664
CG1265	46	1691
CG15011	124	1781
CG1309	284	2967
CG11586	75	1206
VhaM9.7-a	0	0
CG1273	1	2
CG33764	0	0
Ctl1	176	2981
CG11583	425	3708
srw	0	0
CG1316	276	3086
TfIIEbeta	118	1224
Hexo1	126	1248
CG15012	208	2337
Fdx2	62	2462
dyl	1	1
Claspin	468	6513
PMP34	42	2696
CG15014	216	2959
Cip4	215	5271
mRpS6	128	964
CG33514	0	33
CG11342	83	589
DopEcR	4	2
CG32240	0	0
slow	107	495
Syx17	48	1864
CG15019	617	2251
DOR	300	1138
CG15020	0	3
nAChRbeta1	5	18
CG15021	1	0
CG12607	1	0
CG11345	0	0
CG15022	0	0
CG15023	0	0
CG15024	0	0
CG32241	1	0
CG32249	0	0
CG32248	0	0
CG11349	0	0
CG7465	0	0
CG11350	0	0
CG13722	13	0
CG13721	0	0
CG13720	0	0
NT1	0	0
Tie	65	286
CG11353	22	44
CG32243	112	2667
CG11357	40	4775
CG33777	0	0
CG42540	0	14
Src64B	99	12124
CG32246	1	2
HDAC1	548	11966
axo	0	7
CG13716	0	0
TTLL1B	0	0
CG32236	0	0
CG34266	0	0
CG7514	1	0
CG18418	0	0
RhoGEF64C	35	233
CG15876	0	1
CG13713	1	0
CG13712	0	0
CG12493	1	8
CG13711	0	0
CG7509	0	5
CG18808	0	1
Dhc64C	2409	6057
LeuRS-m	175	2651
CG13708	2	3
CG13707	1	1
CG32237	0	0
CG32235	0	0
Dnah3	0	1
CG13705	0	0
hoka	0	0
Rh50	2	3
Con	0	20
CG17030	0	0
CG32232	0	0
ATPsynCF6L	0	0
CG4597	0	0
CG15212	0	0
CG15213	0	1
CG4603	371	1261
CG10674	135	0
CG4611	151	826
Tcs5	68	484
CHMP2B	86	980
Dhrs4	224	1037
Gdap1	0	7
Fitm	161	2216
AlaRS-m	124	2365
Gen	36	1250
Srp54k	209	4239
shep	234	11342
CG4669	0	0
lama	48	1
CG46456	3	0
Klp64D	43	1207
Cyt-c1	418	7890
Uev1A	549	16570
Membrin	66	754
Pfdn4	702	2112
Ir64a	0	0
DIP-delta	1	0
CG4835	0	0
blanks	2	5
CG34342	1	0
Lkr	0	2
CG13285	0	0
frm	18	22
sinu	53	622
ScsbetaG	151	917
Sras	20	1153
bc10	5	4059
Msr-110	233	282
l(3)psg2	38	5058
spo	15	96
Alp10	0	0
Alp9	0	1
CG10591	0	0
TM9SF3	131	3038
mthl2	3	15
Eaf6	76	1038
Blimp-1	3	19
lin-28	0	0
sif	21	0
Sse	143	2919
CG46320	0	0
CG44521	0	0
DnaJ-1	628	13423
Usp47	273	14481
CG10576	1600	26719
Txl	560	5202
Ppat-Dpck	50	193
scny	355	9332
vito	214	1050
Myt1	95	1558
PGRP-LD	5	8
Pmi	110	0
Cralbp	0	1
Bre1	456	7352
Tektin-C	0	0
S6k	303	7589
CG42272	0	10
kri	32	2724
mad2	474	4934
vn	0	124
CG5568	297	5214
CG18586	187	3757
CG13287	1	0
PolE2	196	1300
CG5592	0	0
CG32409	409	3118
QC	78	6037
CG32413	0	0
CG10486	0	0
CG13288	0	0
CG10483	1	4
CG32407	3	2
CG33523	107	4522
Rcc1	170	17988
CG33993	0	0
CG10479	19	47
PVRAP	0	0
alphaKap4	0	0
CG10477	0	0
yip7	0	0
CG6462	0	0
Jon65Aiv	0	0
Jon65Aiii	0	0
Jon65Aii	1	0
Jon65Ai	0	0
tant	50	2622
CG6592	0	0
CG10472	0	3
CG42269	7	31
CG6602	0	7
CG13295	8	1089
CG6610	73	1102
ssp6	0	2
CG13293	0	13
CG10469	0	41
CG10467	95	702
loj	99	2452
Ets65A	0	1
l(3)mbn	0	0
Lcp65Ag3	0	0
Cpr65Au	0	0
Lcp65Ag2	0	0
Lcp65Ag1	0	0
Lcp65Af	0	0
Lcp65Ae	0	0
Cpr65Av	0	0
Cpr65Aw	0	0
Lcp65Ad	0	0
Lcp65Ac	0	0
Lcp65Ab2	0	0
Cpr65Ax1	0	0
Lcp65Ab1	0	0
Cpr65Ax2	0	0
Lcp65Aa	0	0
Acp65Aa	0	0
CG13297	0	2
Cpr65Ay	0	0
Cpr65Az	0	0
Prdm13	0	0
fmt	476	6864
CG7376	48	1136
CG10274	31	1061
D19B	92	1289
CG43293	2	13
D19A	111	2495
CG7386	6	129
Sf3b6	110	5292
Tnpo	607	11742
CG8219	0	1
LanA	827	2719
CG33946	0	1
CG13299	1701	1815
BG642312	8	39
CG42714	1	7
CG10226	4	83
Mdr65	5	70
Best2	316	2016
CG10163	85	129
Ldh	1	7
CG43168	0	0
Or65a	1	0
Or65b	0	0
Or65c	0	0
CG13300	2	22
Sfp65A	0	0
CG42747	8	56
CG10147	3	339
Bulli	102	1015
Vps8	82	2141
sfl	18	1279
betaTub65B	0	0
MCU	14	4512
jv	9	117
ndl	733	990
Rexo5	334	3480
zpg	803	9129
axed	3	24
GluRIA	0	0
eIF4E4	2	0
CG32395	0	0
SP1173	233	488
CG8519	0	1
ple	3	2
dikar	76	5027
velo	338	9603
Sbds	153	1249
Ist1	213	2987
Rsph3	0	0
vvl	1	9
Prat2	5	11
CG45413	0	0
CG14820	0	1
tow	0	2
CG10077	1410	19903
CG9948	22	1292
CG10075	71	629
Surf1	63	696
sgl	81	2575
CG10064	0	7
Mis12	72	874
CG9953	3196	10512
CG10063	25	28
Galphai	232	8938
CG32388	0	0
CG43439	0	0
bin	2	4
Mp	75	673
CG17744	0	0
CG8641	1	1
CG14823	0	2
CG32391	0	0
CG34030	0	0
Cpr65Ea	0	0
Cpr65Eb	0	0
Cpr65Ec	0	0
form3	6	50
msl-3	93	2803
BBS1	1	0
Acbp4	0	0
Acbp6	0	0
Acbp3	0	0
Acbp2	38	24
melt	9	151
corn	11	52
CG8620	1	17
Dscam2	2	2
CG14826	0	0
CG14829	0	0
BHD	24	166
RpL18	1942	38895
Neos	48	2224
mRpL50	213	1729
mei-P22	3	139
Cdc27	226	9267
MED4	47	818
CG14830	6	1
unc-13-4A	0	13
CG8607	79	646
RhoGEF4	192	2680
Rint1	138	1689
mrva	1365	8009
CG42307	36	0
mus312	38	0
wrm1	64	0
wrm2	12	0
eco	306	12295
lark	434	8463
Cln7	11	70
CG14834	563	601
Srp19	135	1347
qm	54	1566
CTCF	81	1932
pst	242	2055
Sec63	376	3036
Sh3beta	215	2431
akirin	720	24724
SMSr	149	4339
smid	936	7947
CG8564	0	1
CG8563	5	3
CG32379	0	0
CG8562	6	0
CG18417	1	0
CG8560	0	0
CG42458	2	4
Rac2	110	2828
CG14835	0	0
sphinx1	1	0
sphinx2	0	0
CG33278	1	0
ppk26	0	0
Tsp66A	0	0
CG42660	0	0
CG42661	1	0
CG8543	0	0
CG8541	0	0
CG43292	0	0
mthl6	0	0
Cyp316a1	0	9
Cyp4d8	15	64
CG8539	53	158
CG7548	1	1
CG7546	308	5904
ltl	2	4
lqf	405	6692
CG16998	0	0
CG32374	0	0
CG32376	0	0
CG14837	1	34
frac	1	4
CG14838	0	1
CG7716	0	4
Pura	170	3327
Urm1	57	357
CG7506	64	1174
CG32373	4	414
PGRP-SD	0	18
CG7492	17	5385
Ank2	4	6
CG44195	1	1
Mcad	2008	12
CG7457	100	5908
CG8492	2	1
Snmp2	0	0
CG13685	0	2
CG7409	0	1
Hn	8	19
Clk	3	88
CG32371	0	1
CG32369	50	213
Pdp1	96	1519
CG32365	46	2793
eIF4E5	2	7
pbl	51	7917
CG8281	3	491
CG8111	23	1685
CG32368	4	7
syd	84	1085
Srp9	188	3836
CG43880	0	0
exex	1	0
RNaseX25	552	3218
CG8042	125	2480
HP4	50	2460
CG8209	482	3082
Pop4	107	1171
nmo	32	4874
bip1	54	2750
Sarm	118	5386
CG42590	0	1
CG42591	0	4
CG7565	25	952
fan	0	4
Nulp1	382	4962
Arp3	286	5414
msk	1634	40288
ldbr	37	1066
CG7550	23	652
mRpL36	95	490
Uba2	959	11583
Cds	80	3371
Setx	111	4757
mus301	76	5020
CG13676	11	88
CG42445	9	2219
CG43886	21	11
CG13675	0	1
RecQ4	796	9215
Nmt	1000	10618
mthl7	0	1
Uxs	23	2634
ERR	18	495
Atg18a	193	3562
MED24	215	2715
CG7387	0	6
UbcE2M	366	3741
Dhps	63	593
CG7366	0	30
CG13679	0	7
tut	0	114
CG8006	0	0
CG8012	58	71
CG13674	0	1
CG13678	0	0
eIF4E3	2	1
CG7213	0	5
Dscam4	31	684
cert	111	2863
CG7201	1	0
Rab19	20	1488
Arl5	113	4016
CG13671	42	1113
CG7194	73	194
Sbp2	95	2325
Gr66a	0	8
BI-1	478	4328
Cpsf6	363	14343
CG43059	0	0
CG13670	0	0
CG34461	0	0
CG34462	0	0
Cpr66Cb	0	0
Pex2	45	1356
Prim1	197	2061
CG7083	164	1451
CG7182	259	8117
GAPcenA	228	2423
Culd	2	81
Idh	2037	21827
ImpE1	1	4
Jon66Ci	0	0
Jon66Cii	0	0
CG7120	52	969
mkg-p	43	0
CG33057	3	0
CG13667	48	521
Oseg1	38	3442
Exo70	173	1070
mtrm	2688	19876
CG32354	5	33
Cbl	104	12663
Unr	374	29214
CG6983	339	3825
Gug	424	16671
CG43163	1	13
ZC3H3	48	427
Pus7	226	2515
CG6765	0	20
CG6683	30	876
GstO3	78	105
se	1	0
GstO2	444	4571
GstO1	239	2883
foi	95	7807
ergic53	283	5919
rhea	746	7733
CG6638	131	3329
CG43078	13	181
Nelf-E	242	1801
RpL14	1741	48550
CG5989	23	2432
CG6282	2	37
S-Lap1	0	1
S-Lap2	1	2
GAPsec	111	2043
Zasp66	22	222
Cdc6	146	5483
Cpr66D	6	11
CG13305	0	0
Pex7	0	0
Arr2	0	1
h	58	490
SrpRbeta	161	3309
CG32022	90	1074
CG6511	217	2949
CG43965	88	0
Cp18	4302	4128
Cp15	11631	13998
Cp19	5151	11027
Cp16	6060	3549
Prm	82	403
CG13306	0	1
Fhos	40	3297
CG6576	0	1
Acbp5	1	0
CG13310	0	1
CG13311	0	0
CG34426	0	0
CG32023	0	0
CG34427	0	0
CG13312	0	0
CG32024	0	1
CG13308	0	0
CG13309	0	1
dally	112	426
CG32026	0	3
CG43169	0	3
Mcm7	863	2493
TrpA1	2	3
mfr	1	0
Tsp66E	228	6452
CG43783	91	2138
orb2	8	475
GNBP3	6	49
mRpL12	397	4475
CG13313	0	7
ValRS-m	74	815
CG5653	0	0
CG5021	90	2189
CG5026	44	7352
pix	376	10406
Srp68	739	8362
CG5644	4	9
CG13314	11	0
Galk	97	1821
CG5068	104	1674
CG5280	1	2
smg	144	94539
CG5087	99	4042
Doc3	0	1
CG5194	419	4781
Doc2	0	1
Doc1	0	1
CG5144	2	187
Argk	1120	11017
CG4911	102	15801
CG4942	26	687
teq	15	56
CG32032	16	14
CG13315	7	52
bol	5	241
Dhpr	145	2640
Use1	75	1439
nwk	0	5
Rdl	0	0
Slc45-1	12	44
CG4476	363	7273
CG4483	0	0
CG4477	0	0
GluRIB	0	0
PGRP-LA	3	56
PGRP-LC	9	58
PGRP-LF	1	0
UGP	494	7601
CG32040	0	3
Svip	121	1464
Pdxk	51	2235
CG34456	4	1
Klp67A	216	6183
mRRF1	85	837
CG4452	274	3285
Fdx1	41	448
Hsp67Bc	1	97
CG4456	3	0
Hsp22	68	0
CG4461	0	4
Hsp26	11464	67616
Hsp67Ba	2	45
Hsp23	187	699
Hsp27	5489	29186
CG4080	131	5008
eIF4E1	1046	33046
Cpr67B	18	6
CG4022	3	2673
Cpsf5	128	7940
Atat	25	2479
CG3982	0	20
aay	251	3021
Shc	77	2951
RpS17	1197	30114
MTF-1	108	1935
CG42526	3	180
Bet3	109	425
Nf-YA	10	2074
CG33926	29	100
CG3529	166	1777
CG3448	29	496
ghi	48	2019
phol	184	10604
CG3552	13	1191
CG3437	19	289
CG3434	104	854
CG44838	44	13978
Uch-L5	720	6188
Jarid2	166	13346
pall	82	1990
CG32036	7	8
CG32037	3	7
path	1413	16121
CG3408	141	4858
RpS9	1260	15905
CG33703	0	0
CG33702	1	0
CG33700	0	0
Or67a	0	0
Ir67a	0	0
CG42673	43	420
Tmc	0	69
CG3222	0	0
CG3088	0	0
CG3306	0	0
LanB2	407	994
CG3335	262	3763
Or67b	7	1
Cyp40	30	1769
fry	527	2387
CG8329	0	1
CG18179	0	1
CG18180	0	0
CNMaR	1	2
CG16717	20	2227
alphaTub67C	1724	29415
Prps	609	11466
CG16719	0	18
Ubc4	619	11258
CG6761	0	2
CG16711	38	5032
SH3PX1	209	4423
vsg	572	11016
CG18178	464	2787
CG14174	35	353
nbs	189	4795
defl	138	1558
Naa60	10	3511
ATPsynB	659	7474
CG6749	0	20
CG42268	9	130
Ae2	127	7823
CG32052	0	0
Zasp67	25	0
Ilp1	0	0
Ilp2	0	0
Ilp3	0	0
Ilp4	0	0
CG43897	9	142
Ilp5	0	0
I-2	107	3354
Cdk8	114	1129
RasGAP1	159	6261
CG10809	63	2234
iPLA2-VIA	566	8171
Ciz1	677	19042
CG34382	0	1
Taf2	147	3644
CalpB	257	2792
Hez	0	0
CG6709	0	0
CG6707	246	5754
CG46387	5	28
nudE	78	6891
bma	0	4
CG6685	54	1425
Dronc	33	3004
CG6674	66	497
CG42455	39	0
vnc	173	0
dpr6	0	894
CG14160	0	0
CG32053	0	0
CG32054	0	0
CG42825	0	0
CG42826	0	0
dpr10	0	0
CG8072	0	0
CG6628	1	0
ect	4	6
CG8065	0	0
CG32055	0	2
scramb1	146	2347
Or67c	0	0
can	10	1
Or67d	1	0
CG12362	0	0
Ir67b	0	0
Ir67c	0	0
Gem3	344	4811
CG32061	0	0
S-Lap3	0	0
CG46430	0	0
Rbfox1	73	2281
S-Lap4	0	3
CG6527	0	0
CG42521	3	0
CG43127	0	0
CG34238	3	0
CG14151	0	0
CG42536	0	0
CG42535	0	0
hay	215	2432
CG34001	39	463
E(z)	338	4732
CG8009	22	1210
CG18628	88	39
CG32066	146	4912
CG14154	0	2
CG14153	0	1
CG8003	287	2625
Adi1	129	1682
simj	100	7560
CG11811	59	5810
CG33493	2	48
ND-13B	222	1866
NijA	19	24
CG43245	0	0
CG12523	0	0
CG42831	0	0
tna	37	187
CG6418	200	3054
Blos4	45	783
CG6409	5	5
galla-2	116	1058
OXA1L	140	4638
Cpr67Fa1	0	0
Cpr67Fa2	0	0
Cpr67Fb	0	0
Aps	19	25979
CG14147	0	1
klu	6	76
Fad2	18	120
CG32079	0	0
CG32081	0	0
CG43693	1562	3948
CG7888	179	321
CG6321	29	1189
Blos2	110	355
CG32069	52	573
CG32075	178	2295
SuUR	25	0
CG45101	1	0
CG6310	82	457
Mocs1	22	1057
Pfdn2	162	5151
CG7839	537	7018
JIL-1	217	4396
CG46439	0	0
Iyd	0	0
CG33947	0	514
Irbp18	36	531
APP-BP1	144	2587
Elo68beta	0	3
Elo68alpha	0	2
CG32071	0	0
CG32073	0	0
CG12522	0	15
CG34012	0	0
emei	61	3053
Sod1	1421	10662
FoxK	285	6395
mRpL2	162	722
Ufd1	319	2585
NaPi-III	59	17079
nol	0	7
CG32074	0	0
CG14143	0	1
IRSp53	7	46
CG6216	0	1
Alg10	51	2162
wls	162	6571
Adck5	20	849
CG14142	0	12
GlcAT-P	37	6394
Plod	532	3641
CG7607	1	59
nkt	1	20
Ube3a	160	4617
CG7600	55	2224
CG42671	70	4001
Ir68a	1	2
scyl	258	15287
Dyro	42	4229
CG7573	0	1
CG6168	0	0
CG6163	10	665
CG11726	0	0
CG44362	0	0
CG7560	0	1
CG6149	0	0
CG7557	0	0
CG12289	0	0
CG7551	0	0
Fum3	0	0
Vha16-3	0	0
Vha16-2	0	0
chrb	44	10889
CG33500	3	0
Sgs8	0	0
Sgs7	0	0
CG33272	0	0
Sgs3	0	0
CG7512	5	26
CG11714	1	0
Fuca	20	0
Mob2	144	3284
CG7394	54	1412
CG46412	0	0
CG33267	0	5
CG33490	2	0
CG33489	0	1
CG33271	0	0
CG33270	0	0
CG43390	0	0
CG43391	0	0
CG33269	0	0
CG32086	0	4
rt	14	1447
CG7377	0	0
CG33268	0	0
CG7368	0	3
CG14137	0	0
CG46394	0	0
Duba	251	4252
CG42832	0	0
Muc68Ca	0	5
Akr1B	1507	19389
